;org:group;concept:instance;org:resource;Activity;Complete Timestamp;lifecycle:transition;case:startdate;case:responsible;case:enddate_planned;case:department;case:group;Case ID;case:deadline;case:channel;case:enddate;Duration
0;Group 1;task-42933;Resource21;Confirmation of receipt;2011-10-11 11:45:40.276000+00:00;complete;2011-10-11 11:42:22.688000+00:00;Resource21;2011-12-06 12:41:31.788000+00:00;General;Group 2;case-10011;2011-12-06 12:41:31.788000+00:00;Internet;;0.0
1;Group 4;task-42935;Resource10;T02 Check confirmation of receipt;2011-10-12 06:26:25.398000+00:00;complete;2011-10-11 11:42:22.688000+00:00;Resource21;2011-12-06 12:41:31.788000+00:00;General;Group 2;case-10011;2011-12-06 12:41:31.788000+00:00;Internet;;67245.122
2;Group 1;task-42957;Resource21;T03 Adjust confirmation of receipt;2011-11-24 14:36:51.302000+00:00;complete;2011-10-11 11:42:22.688000+00:00;Resource21;2011-12-06 12:41:31.788000+00:00;General;Group 2;case-10011;2011-12-06 12:41:31.788000+00:00;Internet;;3744625.904
3;Group 4;task-47958;Resource21;T02 Check confirmation of receipt;2011-11-24 14:37:16.553000+00:00;complete;2011-10-11 11:42:22.688000+00:00;Resource21;2011-12-06 12:41:31.788000+00:00;General;Group 2;case-10011;2011-12-06 12:41:31.788000+00:00;Internet;;25.251
13;EMPTY;task-43229;Resource03;Confirmation of receipt;2011-10-18 13:53:19.732000+00:00;complete;2011-10-05 23:06:40.020000+00:00;Resource11;2011-12-01 00:06:40.010000+00:00;General;Group 8;case-10024;2011-12-01 00:06:40+00:00;Internet;2011-11-17 06:53:06.189000+00:00;0.0
14;Group 4;task-43727;Resource03;T02 Check confirmation of receipt;2011-10-18 13:53:38.108000+00:00;complete;2011-10-05 23:06:40.020000+00:00;Resource11;2011-12-01 00:06:40.010000+00:00;General;Group 8;case-10024;2011-12-01 00:06:40+00:00;Internet;2011-11-17 06:53:06.189000+00:00;18.376
15;Group 3;task-43729;Resource03;T04 Determine confirmation of receipt;2011-10-18 13:53:53.778000+00:00;complete;2011-10-05 23:06:40.020000+00:00;Resource11;2011-12-01 00:06:40.010000+00:00;General;Group 8;case-10024;2011-12-01 00:06:40+00:00;Internet;2011-11-17 06:53:06.189000+00:00;15.67
16;Group 2;task-43730;Resource03;T05 Print and send confirmation of receipt;2011-10-18 13:54:06.717000+00:00;complete;2011-10-05 23:06:40.020000+00:00;Resource11;2011-12-01 00:06:40.010000+00:00;General;Group 8;case-10024;2011-12-01 00:06:40+00:00;Internet;2011-11-17 06:53:06.189000+00:00;12.939
17;Group 1;task-43728;Resource03;T06 Determine necessity of stop advice;2011-10-18 13:54:24.121000+00:00;complete;2011-10-05 23:06:40.020000+00:00;Resource11;2011-12-01 00:06:40.010000+00:00;General;Group 8;case-10024;2011-12-01 00:06:40+00:00;Internet;2011-11-17 06:53:06.189000+00:00;17.404
18;Group 1;task-43731;Resource03;T10 Determine necessity to stop indication;2011-10-18 13:57:18.847000+00:00;complete;2011-10-05 23:06:40.020000+00:00;Resource11;2011-12-01 00:06:40.010000+00:00;General;Group 8;case-10024;2011-12-01 00:06:40+00:00;Internet;2011-11-17 06:53:06.189000+00:00;174.726
19;EMPTY;task-43231;Resource03;Confirmation of receipt;2011-10-25 07:27:08.484000+00:00;complete;2011-10-09 23:06:40.020000+00:00;Resource11;2011-12-05 00:06:40.010000+00:00;General;Group 8;case-10025;2011-12-05 00:06:40+00:00;Internet;2011-11-14 08:15:07.941000+00:00;0.0
20;Group 4;task-44375;Resource03;T02 Check confirmation of receipt;2011-10-25 07:27:27.316000+00:00;complete;2011-10-09 23:06:40.020000+00:00;Resource11;2011-12-05 00:06:40.010000+00:00;General;Group 8;case-10025;2011-12-05 00:06:40+00:00;Internet;2011-11-14 08:15:07.941000+00:00;18.832
21;Group 3;task-44377;Resource03;T04 Determine confirmation of receipt;2011-10-25 07:27:46.307000+00:00;complete;2011-10-09 23:06:40.020000+00:00;Resource11;2011-12-05 00:06:40.010000+00:00;General;Group 8;case-10025;2011-12-05 00:06:40+00:00;Internet;2011-11-14 08:15:07.941000+00:00;18.991
22;Group 2;task-44379;Resource03;T05 Print and send confirmation of receipt;2011-10-25 07:28:00.504000+00:00;complete;2011-10-09 23:06:40.020000+00:00;Resource11;2011-12-05 00:06:40.010000+00:00;General;Group 8;case-10025;2011-12-05 00:06:40+00:00;Internet;2011-11-14 08:15:07.941000+00:00;14.197
