k=4, t=1, exp_time=2.0046651363372803, cutOutCases=2, pretsa_time=6.534902811050415
k=4, t=2, exp_time=1.9898648262023926, cutOutCases=2, pretsa_time=6.7454917430877686
k=4, t=3, exp_time=1.957381010055542, cutOutCases=2, pretsa_time=6.212863922119141
k=4, t=4, exp_time=1.9451308250427246, cutOutCases=2, pretsa_time=6.229324102401733
k=4, t=5, exp_time=1.9474430084228516, cutOutCases=2, pretsa_time=6.192636013031006
k=8, t=1, exp_time=1.9569809436798096, cutOutCases=2, pretsa_time=2.3060500621795654
k=8, t=2, exp_time=2.050632953643799, cutOutCases=2, pretsa_time=2.341169834136963
k=8, t=3, exp_time=2.024543046951294, cutOutCases=2, pretsa_time=2.2971079349517822
k=8, t=4, exp_time=1.9422171115875244, cutOutCases=2, pretsa_time=2.3299670219421387
k=8, t=5, exp_time=1.9526748657226562, cutOutCases=2, pretsa_time=2.3415019512176514
k=16, t=1, exp_time=2.026672840118408, cutOutCases=2, pretsa_time=1.1497058868408203
k=16, t=2, exp_time=2.005023956298828, cutOutCases=2, pretsa_time=1.1163289546966553
k=16, t=3, exp_time=2.013366937637329, cutOutCases=2, pretsa_time=1.1294090747833252
k=16, t=4, exp_time=2.31302809715271, cutOutCases=2, pretsa_time=1.107578992843628
k=16, t=5, exp_time=1.946026086807251, cutOutCases=2, pretsa_time=1.103816032409668
k=32, t=1, exp_time=1.953099012374878, cutOutCases=2, pretsa_time=0.517531156539917
k=32, t=2, exp_time=1.9579620361328125, cutOutCases=2, pretsa_time=0.5145721435546875
k=32, t=3, exp_time=2.031252145767212, cutOutCases=2, pretsa_time=0.5136110782623291
k=32, t=4, exp_time=1.9451727867126465, cutOutCases=2, pretsa_time=0.516319990158081
k=32, t=5, exp_time=1.9506196975708008, cutOutCases=2, pretsa_time=0.5152039527893066
k=64, t=1, exp_time=2.0143229961395264, cutOutCases=2, pretsa_time=0.31559085845947266
k=64, t=2, exp_time=1.9715640544891357, cutOutCases=2, pretsa_time=0.3210878372192383
k=64, t=3, exp_time=2.003037214279175, cutOutCases=2, pretsa_time=0.31623411178588867
k=64, t=4, exp_time=2.0265469551086426, cutOutCases=2, pretsa_time=0.32228708267211914
k=64, t=5, exp_time=2.020146369934082, cutOutCases=2, pretsa_time=0.33992791175842285
k=64, t=1, exp_time=2.01424503326416, cutOutCases=2, pretsa_time=0.3209519386291504
